Mean_Temperature,Specific_Humidity
"23,505","16,216"
"23,695","16,333"
"23,929","17,487"
"23,988","17,476"
"23,98","17,604"
"24,36","18,393"
"24,839","18,412"
"23,924","17,706"
"24,317","17,672"
"24,77","17,36"
"23,19","16,68"
"23,84","17,568"
"23,756","17,393"
"24,28","18,186"
"23,583","16,792"
"23,956","17,72"
"23,889","17,711"
"24,333","17,937"
"22,945","16,466"
"23,841","17,6"
"23,576","17,338"
"23,9","17,506"
"24,88","17,736"
"23,938","17,773"
"23,983","17,658"
"23,815","17,199"
"23,797","17,381"
"23,569","16,782"
"23,157","16,379"
"22,906","16,262"
"22,928","16,521"
"23,352","16,945"
"23,566","17,138"
"23,252","16,853"
"23,996","17,79"
"23,722","17,64"
"24,117","16,672"
"23,86","16,7"
"23,669","16,246"
"23,354","16,899"
"23,441","17,187"
"22,933","16,335"
"22,447","15,878"
"23,442","17,479"
"24,8","18,243"
"24,376","16,98"
"24,319","17,411"
"24,995","15,971"
"24,368","17,567"
"23,598","17,29"
"23,498","17,208"
"23,708","16,809"
"23,32","16,94"
"24,469","17,972"
"24,113","17,927"
"23,962","17,415"
"24,378","17,895"
"24,694","17,177"
"24,7","16,489"
"24,51","16,428"
"24,525","16,414"
"24,309","16,542"
"24,134","16,903"
"23,277","17,234"
"24,416","18,306"
"24,86","16,579"
"24,118","16,867"
"24,172","17,392"
"24,291","17,871"
"23,759","17,177"
"23,376","17,357"
"22,938","16,89"
"24,346","17,194"
"24,621","16,745"
"24,396","17,196"
"24,162","17,537"
"23,871","17,653"
"24,143","17,855"
"24,141","17,439"
"24,216","17,766"
"24,503","17,816"
"24,67","18,106"
"24,79","17,185"
"23,956","17,64"
"24,166","17,775"
"24,609","17,363"
"25,57","17,721"
"24,954","17,142"
"24,473","18,399"
"24,487","18,24"
"23,957","17,748"
"24,269","18,7"
"24,813","17,48"
"24,193","17,906"
"23,83","17,551"
"24,198","18,254"
"23,602","17,575"
"24,299","17,71"
"24,635","17,346"
"24,207","17,257"
"24,793","18,134"
"24,19","17,932"
"23,632","16,799"
"23,4","16,637"
"24,349","17,583"
"23,481","17,178"
"24,178","18,188"
"23,923","17,921"
"24,359","18,76"
"23,358","16,969"
"24,147","16,778"
"24,409","17,27"
"23,536","17,378"
"23,632","16,903"
"24,85","16,939"
"23,865","16,627"
"23,668","16,65"
"23,716","17,277"
"24,375","17,349"
"23,566","17,103"
"23,828","16,418"
"23,602","17,308"
"24,228","17,308"
"23,878","16,685"
"22,799","15,646"
"22,666","15,565"
"22,821","15,84"
"22,761","15,11"
"23,841","15,801"
"23,296","17,19"
"23,385","17,543"
"24,362","18,238"
"23,432","17,432"
"22,981","16,962"
"23,134","17,204"
"23,7","16,95"
"23,224","16,383"
"22,742","16,489"
"22,913","16,828"
"23,278","16,131"
"23,369","15,297"
"22,777","16,102"
"22,747","15,231"
"24,955","17,447"
"23,367","17,293"
"23,237","16,865"
"22,772","15,819"
"21,76","15,21"
"22,51","15,271"
"22,693","16,237"
"23,504","17,499"
"23,246","17,77"
"23,247","16,754"
"22,902","16,36"
"23,471","17,572"
"22,607","16,559"
"23,233","17,71"
"22,683","16,78"
"22,501","16,1"
"23,772","17,42"
"23,477","17,13"
"22,911","16,212"
"22,874","16,74"
"22,751","15,68"
"21,784","14,447"
"22,648","15,532"
"22,144","15,342"
"21,55","14,247"
"20,841","13,495"
"22,1","14,639"
"22,354","15,386"
"22,487","15,394"
"21,855","14,243"
"22,633","16,421"
"22,419","15,933"
"21,666","15,623"
"21,819","15,312"
"22,556","15,464"
"22,123","15,645"
"21,601","14,904"
"22,191","13,86"
"22,616","13,619"
"23,175","14,659"
"23,421","14,857"
"23,272","15,235"
"22,999","15,461"
"22,268","14,937"
"22,856","16,123"
"22,76","15,793"
"22,539","16,145"
"23,426","15,687"
"22,652","14,888"
"22,629","14,733"
"22,705","15,345"
"22,205","15,616"
"21,8","15,117"
"23,57","14,769"
"21,697","14,67"
"21,989","15,15"
"21,365","14,458"
"23,355","15,981"
"23,216","14,661"
"21,326","13,694"
"21,685","13,874"
"21,785","14,13"
"23,72","14,46"
"21,987","13,976"
"22,157","13,818"
"22,478","13,951"
"22,29","14,53"
"22,343","13,693"
"22,49","13,724"
"22,582","13,758"
"23,633","14,108"
"22,621","15,69"
"22,333","14,557"
"22,582","14,44"
"21,753","13,372"
"22,884","14,863"
"21,789","14,3"
"22,708","14,827"
"22,372","14,872"
"24,17","15,407"
"22,73","14,587"
"22,788","12,991"
"22,103","12,911"
"21,439","13,218"
"22,73","14,83"
"23,209","16,377"
"23,347","15,577"
"21,901","14,571"
"22,311","14,655"
"22,187","15,625"
"21,704","14,943"
"22,329","14,617"
"23,296","15,71"
"23,392","14,606"
"23,5","14,185"
"22,427","14,283"
"22,402","14,31"
"23,348","14,963"
"22,51","14,316"
"22,782","14,609"
"23,611","16,517"
"22,665","15,589"
"23,488","14,553"
"22,382","14,723"
"22,526","14,612"
